Doc_ID,Topic_Number,Topic-Labe;,Topic_Percent
sc22-1_006,1,voting state districts,72.8
sc22-4_006,1,voting state districts,72.7
sc22-4_004,1,voting state districts,72.6
sc20-3_006,1,voting state districts,68.7
sc21-2_007,1,voting state districts,65.8
sc04-1_013,1,voting state districts,65.3
sc04-1_010,1,voting state districts,64.6
sc04-1_011,1,voting state districts,64.5
sc24-1-2_006,1,voting state districts,63.5
sc23-1_006,1,voting state districts,63.2
sc04-1_008,1,voting state districts,63.0
sc04-2_006,1,voting state districts,62.2
sc15-3_002,1,voting state districts,60.7
sc22-4_005,1,voting state districts,58.7
sc22-2_014,1,voting state districts,58.3
sc17-3-4_005,1,voting state districts,58.2
sc23-2_010,1,voting state districts,58.2
sc03-2_007,1,voting state districts,57.9
sc22-4_017,1,voting state districts,57.0
sc16-2_002,1,voting state districts,56.8
sc22-4_015,1,voting state districts,56.7
sc20-3_011,1,voting state districts,56.7
sc04-3_006,1,voting state districts,56.5
sc05-5_sc05-6003,1,voting state districts,56.0
sc21-4_002,1,voting state districts,55.8
sc22-4_012,1,voting state districts,55.8
sc23-2_005,1,voting state districts,55.5
sc07-5_002,1,voting state districts,54.9
sc23-2_004,1,voting state districts,54.3
sc17-3-4_004,1,voting state districts,53.7
sc04-1_004,1,voting state districts,52.6
sc04-6_005,1,voting state districts,52.5
sc02-8_009,1,voting state districts,52.3
sc17-2_006,1,voting state districts,52.2
sc23-2_006,1,voting state districts,51.0
sc22-4_003,1,voting state districts,49.3
sc22-4_014,1,voting state districts,49.1
sc22-4_007,1,voting state districts,48.6
sc17-2_002,1,voting state districts,47.3
sc13-2_008,1,voting state districts,47.0
sc20-3_035,1,voting state districts,46.9
sc22-4_010,1,voting state districts,46.5
sc04-1_006,1,voting state districts,45.7
sc06-3_004,1,voting state districts,45.4
sc04-1_009,1,voting state districts,45.1
sc11-5_008,1,voting state districts,44.8
sc22-4_011,1,voting state districts,44.3
sc20-3_003,1,voting state districts,44.0
sc16-4_003,1,voting state districts,43.3
sc22-4_008,1,voting state districts,43.2
sc21-1_011,2,school education schools,56.0
sc01-8_005,2,school education schools,55.4
sc20-1_004,2,school education schools,55.3
sc11-4_005,2,school education schools,55.0
sc11-4_013,2,school education schools,53.8
sc25-1-4_002,2,school education schools,53.7
sc21-1_006,2,school education schools,52.7
sc11-4_007,2,school education schools,52.4
sc21-1_004,2,school education schools,50.1
sc21-3_006,2,school education schools,49.3
sc21-1_010,2,school education schools,49.3
sc01-5_008,2,school education schools,49.1
sc01-8_004,2,school education schools,46.8
sc17-1_005,2,school education schools,44.2
sc19-2_004,2,school education schools,43.8
sc16-4_004,2,school education schools,43.0
sc21-1_003,2,school education schools,42.5
sc11-4_014,2,school education schools,41.4
sc05-5_006,2,school education schools,41.2
sc19-2_005,2,school education schools,40.5
sc01-8_002,2,school education schools,39.6
sc22-1_008,2,school education schools,38.6
sc01-7_008,2,school education schools,37.5
sc13-4_005,2,school education schools,37.5
sc10-6_f3.004,2,school education schools,37.2
sc04-6_009,2,school education schools,36.4
sc01-6_011,2,school education schools,36.4
sc05-2_002,2,school education schools,36.0
sc24-1-2_008,2,school education schools,35.8
sc21-1_007,2,school education schools,33.4
sc13-4_006,2,school education schools,33.1
sc09-4_005,2,school education schools,32.9
sc10-3_007,2,school education schools,32.5
sc21-1_002,2,school education schools,32.1
sc05-4_008,2,school education schools,30.8
sc14-3_009,2,school education schools,28.5
sc01-2_005,2,school education schools,27.2
sc10-4_013,2,school education schools,27.1
sc22-1_007,2,school education schools,27.0
sc01-8_009,2,school education schools,27.0
sc13-4_004,2,school education schools,26.3
